J1,771.801,6328.994
J2,761.521,6164.502
J3,746.834,6001.479
J4,752.709,5945.669
J5,789.426,5923.639
J6,842.298,5923.639
J7,1332.837,5947.137
J8,1494.391,5929.513
J9,1538.452,6925.277
J10,1544.326,6863.593
J11,1529.639,6775.472
J12,1529.639,6690.289
J13,1517.89,6469.987
J14,1526.702,6408.302
J15,1499.715,6002.488
J16,1491.27,5893.439
J17,1485.396,5848.644
J18,1490.903,5757.219
J19,1492.372,5680.848
J20,1483.56,5429.704
J21,1465.936,4970.007
J22,1465.936,4906.854
J23,1449.78,4455.97
J24,1471.81,4379.599
J25,1690.643,4116.705
J26,1866.885,3956.619
J27,2254.616,3756.879
J28,2532.196,3292.777
J29,2617.379,3219.343
J30,2849.43,3134.16
J31,2742.217,5879.119
J32,2755.435,5698.472
J33,2740.748,5611.82
J34,2676.126,5616.226
J35,2635.003,5398.861
J36,2637.941,5351.864
J37,2620.317,5268.149
J38,2598.286,4914.198
J39,2668.783,4920.072
J40,2774.528,4784.954
j41,3206.319,4685.084
J42,3124.073,4579.339
J43,2897.897,4461.845
J44,4337.202,4834.889
J45,4328.39,4505.905
J46,4293.141,4385.473
J47,3961.22,4194.545
J48,3834.914,3983.056
J49,3511.804,3983.056
J50,3458.932,3956.619
J51,3185.758,3730.443
J52,3096.168,2940.294
J53,3257.723,3007.853
J54,3422.215,2899.171
J55,3821.696,1594.985
J56,5275.687,5157.998
J57,5046.573,5093.376
J58,4697.028,3119.473
J59,4796.898,2476.192
J60,5933.655,2490.878
J61,5686.917,2461.505
J62,5448.991,2255.89
J63,5410.805,2144.27
J64,5281.562,2156.02
J65,5278.624,2023.839
J66,5181.692,1941.593
J67,5196.378,1827.036
J68,5108.258,1829.973
J69,5052.448,1797.662
J70,4926.142,1876.971
J71,4582.471,1600.859
J72,4594.22,1471.616
J73,4732.276,863.583
O1,4714.652,44.06
